模型名称：DUMP
合约名称：IF1305  
测试时间：2012-05-17 -- 2012-05-18
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	435
  指令总数：		435		  平均交易周期：1
  初始资金：		330000		  最终权益：	279316
  总收益率(盈利/初始资金)：	-15.36%	  盈利：	-50683.59
  扣除最大盈利后收益率：	-16.45%
  扣除最大亏损后收益率：	-14.80%

  可靠性(胜率)：	52.41%		  成交额：	675744000
  期望收益(平均R乘数)：	0.00R		  总手续费：	40545

  总交易次数：		435		
  盈利次数比例：	42.76%		  亏损次数比例：	47.36%
  平均利润率：		-0.04%		  平均每次盈利：	-117
  标准离差率：		-1762.9%		  标准离差：		410.92
  多头次数：		217		  空头次数：		217
  多头盈利次数：	91		  空头盈利次数：	95

  盈利次数：		186		  亏损次数：	206
  总盈利：		55380(16.78%)	  总亏损：	-65519(-19.85%)
  平均盈利率：		321(0.10%)	  平均亏损率：	-342(-0.10%)
  最大盈利额：		3600(1.18%)	  最大亏损额：	-1860(-0.62%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	11
  最大连续盈利：	3840(1.26%)	  最大连续亏损：	-3840(-1.21%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120517 15:11	2602.6	多头	20120517 15:12	2602.2	1	94	-120	-213.7	305293.8	正常
20120517 15:12	2602.2	空头	20120517 15:13	2602.4	1	94	-60	-153.7	305140.2	正常
20120517 15:13	2602.4	多头	20120517 15:14	2603.2	1	94	240	146.3	305286.5	正常
20120517 15:14	2603.2	空头	20120518 09:15	2591.2	1	93	3600	3506.5	308793.0	正常
20120518 09:15	2591.2	多头	20120518 09:16	2590.8	1	93	-120	-213.2	308579.7	正常
20120518 09:16	2590.8	空头	20120518 09:17	2591.8	1	93	-300	-393.3	308186.4	正常
20120518 09:17	2591.8	多头	20120518 09:18	2591.0	1	93	-240	-333.3	307853.2	正常
20120518 09:18	2591.0	空头	20120518 09:19	2587.4	1	93	1080	986.8	308840.0	正常
20120518 09:19	2587.4	多头	20120518 09:20	2584.4	1	93	-900	-993.1	307846.9	正常
20120518 09:20	2584.4	空头	20120518 09:21	2584.2	1	93	60	-33.0	307813.8	正常
20120518 09:21	2584.2	多头	20120518 09:22	2585.6	1	93	420	327.0	308140.8	正常
20120518 09:22	2585.6	空头	20120518 09:23	2585.0	1	93	180	87.0	308227.8	正常
20120518 09:23	2585.0	多头	20120518 09:24	2583.8	1	93	-360	-453.0	307774.8	正常
20120518 09:24	2583.8	空头	20120518 09:25	2585.4	1	93	-480	-573.0	307201.8	正常
20120518 09:25	2585.4	多头	20120518 09:26	2585.0	1	93	-120	-213.0	306988.8	正常
20120518 09:26	2585.0	空头	20120518 09:27	2585.2	1	93	-60	-153.0	306835.7	正常
20120518 09:27	2585.2	多头	20120518 09:28	2585.4	1	93	60	-33.1	306802.6	正常
20120518 09:28	2585.4	空头	20120518 09:29	2583.8	1	93	480	386.9	307189.5	正常
20120518 09:29	2583.8	多头	20120518 09:30	2584.8	1	93	300	207.0	307396.5	正常
20120518 09:30	2584.8	空头	20120518 09:31	2583.6	1	93	360	267.0	307663.4	正常
20120518 09:31	2583.6	多头	20120518 09:32	2582.8	1	93	-240	-333.0	307330.4	正常
20120518 09:32	2582.8	空头	20120518 09:33	2585.2	1	93	-720	-813.0	306517.4	正常
20120518 09:33	2585.2	多头	20120518 09:34	2582.8	1	93	-720	-813.0	305704.4	正常
20120518 09:34	2582.8	空头	20120518 09:35	2583.2	1	93	-120	-213.0	305491.4	正常
20120518 09:35	2583.2	多头	20120518 09:36	2584.0	1	93	240	147.0	305638.5	正常
20120518 09:36	2584.0	空头	20120518 09:37	2584.4	1	93	-120	-213.0	305425.5	正常
20120518 09:37	2584.4	多头	20120518 09:38	2583.6	1	93	-240	-333.0	305092.5	正常
20120518 09:38	2583.6	空头	20120518 09:39	2585.0	1	93	-420	-513.0	304579.5	正常
20120518 09:39	2585.0	多头	20120518 09:40	2585.8	1	93	240	146.9	304726.5	正常
20120518 09:40	2585.8	空头	20120518 09:41	2586.0	1	93	-60	-153.1	304573.4	正常
20120518 09:41	2586.0	多头	20120518 09:42	2587.2	1	93	360	266.9	304840.3	正常
