模型名称：DUMP
合约名称：IF1207  
测试时间：2012-06-12 -- 2012-06-13
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	362
  指令总数：		362		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147468416
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-15231.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	52.49%		  成交额：	552396736
  期望收益(平均R乘数)：	0.00R		  总手续费：	33144

  总交易次数：		362		
  盈利次数比例：	45.58%		  亏损次数比例：	47.24%
  平均利润率：		-0.00%		  平均每次盈利：	-42
  标准离差率：		-63861.8%		  标准离差：		422.90
  多头次数：		181		  空头次数：		180
  多头盈利次数：	86		  空头盈利次数：	79

  盈利次数：		165		  亏损次数：	171
  总盈利：		55020(0.00%)	  总亏损：	-55260(-0.00%)
  平均盈利率：		333(0.00%)	  平均亏损率：	-323(-0.00%)
  最大盈利额：		2040(0.00%)	  最大亏损额：	-1740(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	7		  最大连续亏损次数：	7
  最大连续盈利：	3300(0.00%)	  最大连续亏损：	-2940(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型
20120613 10:17	2531.8	多头	20120613 10:18	2532.0	1	91	60	-31.2	2147474944.0	正常
20120613 10:18	2532.0	空头	20120613 10:19	2531.6	1	91	120	28.8	2147475072.0	正常
20120613 10:19	2531.6	多头	20120613 10:20	2531.4	1	91	-60	-151.2	2147474944.0	正常
20120613 10:20	2531.4	空头	20120613 10:21	2533.2	1	91	-540	-631.2	2147474304.0	正常
20120613 10:21	2533.2	多头	20120613 10:22	2533.0	1	91	-60	-151.2	2147474176.0	正常
20120613 10:22	2533.0	空头	20120613 10:23	2532.0	1	91	300	208.8	2147474432.0	正常
20120613 10:23	2532.0	多头	20120613 10:24	2531.0	1	91	-300	-391.1	2147474048.0	正常
20120613 10:24	2531.0	空头	20120613 10:25	2531.8	1	91	-240	-331.1	2147473792.0	正常
20120613 10:25	2531.8	多头	20120613 10:26	2531.0	1	91	-240	-331.1	2147473536.0	正常
20120613 10:26	2531.0	空头	20120613 10:27	2530.6	1	91	120	28.9	2147473664.0	正常
20120613 10:27	2530.6	多头	20120613 10:28	2530.8	1	91	60	-31.1	2147473664.0	正常
20120613 10:28	2530.8	空头	20120613 10:29	2529.6	1	91	360	268.9	2147473920.0	正常
20120613 10:29	2529.6	多头	20120613 10:30	2527.8	1	91	-540	-631.0	2147473280.0	正常
20120613 10:30	2527.8	空头	20120613 10:31	2527.6	1	91	60	-31.0	2147473280.0	正常
20120613 10:31	2527.6	多头	20120613 10:32	2527.2	1	91	-120	-211.0	2147473152.0	正常
20120613 10:32	2527.2	空头	20120613 10:33	2527.0	1	91	60	-31.0	2147473152.0	正常
20120613 10:33	2527.0	多头	20120613 10:34	2526.0	1	91	-300	-391.0	2147472768.0	正常
20120613 10:34	2526.0	空头	20120613 10:35	2527.0	1	91	-300	-391.0	2147472384.0	正常
20120613 10:35	2527.0	多头	20120613 10:36	2526.8	1	91	-60	-151.0	2147472256.0	正常
20120613 10:36	2526.8	空头	20120613 10:37	2527.0	1	91	-60	-151.0	2147472128.0	正常
20120613 10:37	2527.0	多头	20120613 10:38	2528.4	1	91	420	329.0	2147472512.0	正常
20120613 10:38	2528.4	空头	20120613 10:39	2528.0	1	91	120	29.0	2147472640.0	正常
20120613 10:39	2528.0	多头	20120613 10:40	2528.0	1	91	0	-91.0	2147472640.0	正常
20120613 10:40	2528.0	空头	20120613 10:41	2531.2	1	91	-960	-1051.1	2147471616.0	正常
20120613 10:41	2531.2	多头	20120613 10:42	2532.6	1	91	420	328.9	2147472000.0	正常
20120613 10:42	2532.6	空头	20120613 10:43	2532.2	1	91	120	28.9	2147472128.0	正常
20120613 10:43	2532.2	多头	20120613 10:44	2532.2	1	91	0	-91.2	2147472128.0	正常
20120613 10:44	2532.2	空头	20120613 10:45	2535.2	1	91	-900	-991.2	2147471232.0	正常
20120613 10:45	2535.2	多头	20120613 10:46	2535.2	1	91	0	-91.3	2147471232.0	正常
20120613 10:46	2535.2	空头	20120613 10:47	2536.0	1	91	-240	-331.3	2147470976.0	正常
20120613 10:47	2536.0	多头	20120613 10:48	2534.6	1	91	-420	-511.2	2147470464.0	正常
20120613 10:48	2534.6	空头	20120613 10:49	2536.4	1	91	-540	-631.2	2147469824.0	正常
20120613 10:49	2536.4	多头	20120613 10:50	2535.8	1	91	-180	-271.3	2147469568.0	正常
20120613 10:50	2535.8	空头	20120613 10:51	2534.4	1	91	420	328.8	2147469952.0	正常
20120613 10:51	2534.4	多头	20120613 10:52	2535.4	1	91	300	208.7	2147470208.0	正常
20120613 10:52	2535.4	空头	20120613 10:53	2535.4	1	91	0	-91.3	2147470208.0	正常
20120613 10:53	2535.4	多头	20120613 10:54	2538.8	1	91	1020	928.7	2147471232.0	正常
20120613 10:54	2538.8	空头	20120613 10:55	2542.0	1	91	-960	-1051.4	2147470208.0	正常
20120613 10:55	2542.0	多头	20120613 10:56	2542.2	1	92	60	-31.5	2147470208.0	正常
20120613 10:56	2542.2	空头	20120613 10:57	2548.0	1	92	-1740	-1831.6	2147468416.0	正常
20120613 10:57	2548.0	多头	20120613 10:58	2549.0	1	92	300	208.3	2147468672.0	正常
20120613 10:58	2549.0	空头	20120613 10:59	2548.4	1	92	180	88.3	2147468800.0	正常
20120613 10:59	2548.4	多头	20120613 11:00	2547.8	1	92	-180	-271.7	2147468544.0	正常
20120613 11:00	2547.8	空头	20120613 11:01	2547.4	1	92	120	28.3	2147468672.0	正常
20120613 11:01	2547.4	多头	20120613 11:02	2546.0	1	92	-420	-511.7	2147468160.0	正常
